algorithm,expression_str,status,ExpressionDepth,SolvableControllabilityScore,AddRule,URule,PartsRule,CyclicPartsRule,RewriteRule,ConstantTimesRule,ConstantRule,PowerRule,SinRule,CosRule,TrigRule,ExpRule,ReciprocalRule,ArctanRule,AlternativeRule,DontKnowRule,eval_score
baseline_solvable,(2*x + 4)**4*cos(x)/x + 8*(2*x + 4)**3*sin(x)/x - (2*x + 4)**4*sin(x)/x**2,unsolvable,15.0,,13.0,24.0,51.0,0.0,15.0,99.0,0.0,0.0,48.0,44.0,0.0,0.0,0.0,0.0,7.0,14.0,
baseline_solvable,2 - 2*x,ok,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline_solvable,(-5*(-4**x*log(4) + 1)*exp(-4**x + x) + 5)/((5*x - 5*exp(-4**x + x))**2 + 1),unsolvable,8.0,,3.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,
baseline_solvable,exp(x),ok,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4928175210952759
baseline_solvable,(4*x/5)**x*(log(4*x/5) + 1) + 1/(2*sqrt(x)),ok,4.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6405714750289917
baseline_solvable,-8*sin(x - 5)*cos(x - 5)**7,timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,3*x**x*(log(x) + 1),ok,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9303086400032043
baseline_solvable,1/(2*((x - tan(1))**2 + 1)*sqrt(atan(x - tan(1)))) + 1/x,ok,5.0,12.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8911499977111816
baseline_solvable,-5*x*exp(atan(x))/(3*(x**2 + 1)*(5*exp(atan(x))/3 - 20/3)**2) + 1/(5*exp(atan(x))/3 - 20/3),unsolvable,7.0,,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,
baseline_solvable,x**(x**3 + 5*x*cos(x))*((3*x**2 - 5*x*sin(x) + 5*cos(x))*log(x) + (x**3 + 5*x*cos(x))/x),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,-4*x*(cos(x)/2 + 1/2)/sqrt(x + sin(x)) - 4*sqrt(x + sin(x)),ok,10.0,9.0,3.0,2.0,2.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.9839111566543579
baseline_solvable,2*x**x*(log(x) + 1),ok,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9303086400032043
baseline_solvable,-(2*(-log(x**2) - 2)/(5*x*(x**2)**x) - 2/(5*x**2*(x**2)**x))/(1 + 4/(25*x**2*(x**2)**(2*x))),unsolvable,7.0,,2.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,
baseline_solvable,-(2*sqrt(1/x))**x*(log(2*sqrt(1/x)) - 1/2)/3,ok,4.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9303086400032043
baseline_solvable,((2*x - 1)*sinh(x**2 - x) + 1)*cos(x + cosh(x**2 - x) + 5),ok,3.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9107417464256287
baseline_solvable,1 - cos(x),ok,3.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05563126504421234
baseline_solvable,-2**x*log(2) + 1 + 1/(x**2 + 1),ok,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.05563126504421234
baseline_solvable,(-1 + 1/x)/(x**2 + exp(x)) + (-2*x - exp(x))*(-x + log(x))/(x**2 + exp(x))**2,timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,-4/(x - 3)**2,ok,6.0,7.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9681819081306458
baseline_solvable,-sqrt(10 - x)/(x - 3)**2 - 1/(2*sqrt(10 - x)*(x - 3)),unsolvable,9.0,,2.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,
baseline_solvable,-2*x*(-log(x) - 1)/(pi*x**x) - 2/(pi*x**x),unsolvable,8.0,,3.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,
baseline_solvable,-2*(-3 + sin(3))*cosh(2*x)/sinh(2*x)**2,ok,6.0,14.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9363577365875244
baseline_solvable,3*(1 - tanh(x)**2)*log(atan(3**(pi/2)))*atan(3**(pi/2))**tanh(x),ok,6.0,10.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.961676299571991
baseline_solvable,x**(x/(1 - x) + exp(1/x))*((x/(1 - x)**2 + 1/(1 - x) - exp(1/x)/x**2)*log(x) + (x/(1 - x) + exp(1/x))/x),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,-2*(x**2)**sin(4) - 4*(x**2)**sin(4)*sin(4),ok,3.0,37.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.077893927693367
baseline_solvable,x**2/(4*(x - 1)**2) - x/(2*(x - 1)) - 1,ok,11.0,11.0,5.0,13.0,0.0,0.0,18.0,6.0,5.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.9702154397964478
baseline_solvable,-3*sqrt(x)/4,ok,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3430999517440796
baseline_solvable,3*exp(3*x)*log(x)**3/x**2 - 2*exp(3*x)*log(x)**3/x**3 + 3*exp(3*x)*log(x)**2/x**3,unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
baseline_solvable,162/(-2*x + pi/2)**2,ok,10.0,10.0,0.0,6.0,0.0,0.0,9.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.971278965473175
baseline_solvable,(-2)**exp(3)*sinh(x),ok,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45474973320961
baseline_solvable,6*exp(4)*cosh(3*x),ok,4.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.885848343372345
baseline_solvable,x*cosh(x)/3 + sinh(x)/3 + 1/(3*sqrt(1 - x**2)),unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
baseline_solvable,(-sin(3/(1 - x**3)))**x*(9*x**3*cos(3/(1 - x**3))/((1 - x**3)**2*sin(3/(1 - x**3))) + log(-sin(3/(1 - x**3)))),ok,5.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.965065598487854
baseline_solvable,-1/(3125*x**(3126/3125)),ok,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3430999517440796
baseline_solvable,-1 + 5/x**2,ok,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline_solvable,-2*x*log(atan(3))*atan(3)**(-x - 1) + 2*atan(3)**(-x - 1),unsolvable,8.0,,1.0,3.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,
baseline_solvable,(x*(exp(x) + 1)/(((x + exp(x))**2 + 1)*atan(x + exp(x))) + log(atan(x + exp(x))))*atan(x + exp(x))**x,timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,-x**2/(x - 4)**2 + 2*x/(x - 4) + 4/x**2,ok,12.0,14.0,5.0,13.0,0.0,0.0,18.0,10.0,4.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.9663713574409485
baseline_solvable,3**(-x + (x + log(x) + 4)**3)*((3 + 3/x)*(x + log(x) + 4)**2 - 1)*log(3),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,-3*pi/(2*x),ok,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45474973320961
baseline_solvable,2*x*exp(x)/5 + 2*exp(x)/5,ok,4.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.8592501878738403
baseline_solvable,(-tan(x)**2 - 1)/tan(x)**2 + 2,unsolvable,5.0,,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline_solvable,1 - (-log(x) - 1)*sqrt(exp(-1/x**x))/(2*x**x),ok,13.0,12.0,1.0,18.0,0.0,0.0,1.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.9303062558174133
baseline_solvable,11*x**10*exp(-3),ok,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3430999517440796
baseline_solvable,-tanh(x)**2,ok,8.0,17.0,1.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.970274031162262
baseline_solvable,(x/(x - exp(-1) + 1) + log(x - exp(-1) + 1))*(x - exp(-1) + 1)**x/x - (x - exp(-1) + 1)**x/x**2,timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,2*sinh(2*x) + 3,ok,5.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7000799775123596
baseline_solvable,50*tanh(x)**2 - 95/2,ok,9.0,22.0,2.0,3.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9824100732803345
baseline_solvable,-8*sin(1)/sqrt(-64*x**2*sin(1)**2 + 1),ok,4.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.885848343372345
baseline_solvable,(-1 - 6/x**7)*log(3)/(x - 1 - 1/x**6)**2,timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,3**(x - 2)*log(3) + tan(x)**2 + 1,ok,6.0,8.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.9766097664833069
baseline_solvable,3**(1/4)*sqrt(sqrt(-x)*(2 - x))*(-sqrt(-x)/2 + sqrt(-x)*(2 - x)/(4*x))/(sqrt(-x)*(2 - x)),ok,7.0,17.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9589473605155945
baseline_solvable,-1/x**2 - 2*(5 - x)/x**3,ok,6.0,11.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9213617444038391
baseline_solvable,x**2/(-x - asin(3))**2 + 2*x/(-x - asin(3)),ok,11.0,16.0,6.0,14.0,0.0,0.0,20.0,10.0,5.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.9663713574409485
baseline_solvable,-((-3)**(-3 + cos(4)))**cos(x)*exp(((-3)**(-3 + cos(4)))**cos(x))*log((-3)**(-3 + cos(4)))*sin(x),ok,13.0,32.0,0.0,32.0,0.0,0.0,3.0,33.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,13.0,0.0,0.968125581741333
baseline_solvable,-5**(x - 4)*x**3*log(5) - 3*5**(x - 4)*x**2,unsolvable,5.0,,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
baseline_solvable,(log(2)/8 + 1/2)/sqrt(x*log(2)/4 + x),ok,3.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9040710926055908
baseline_solvable,-2*sinh(5)/x**3,ok,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3430999517440796
baseline_solvable,2 - 2*tanh(2*x)**2,ok,9.0,26.0,2.0,3.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9824100732803345
baseline_solvable,x*(3**x + x)**x*(x*(3**x*log(3) + 1)/(3**x + x) + log(3**x + x))*exp((3**x + x)**x) + exp((3**x + x)**x),unsolvable,7.0,,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,
baseline_solvable,x**(x - 2 + pi/4)*(log(x) + (x - 2 + pi/4)/x),unsolvable,7.0,,2.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,
baseline_solvable,sqrt(-x**2)*cos(x)/(2*sqrt(sin(x))) + sqrt(-x**2)*sqrt(sin(x))/x,unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
baseline_solvable,-x**2/(2*(x**2 + 6)**(5/4)) + (x**2 + 6)**(-1/4),unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
baseline_solvable,(5 - asin(x - 1))**(x - 1)*(log(5 - asin(x - 1)) - (x - 1)/(sqrt(1 - (x - 1)**2)*(5 - asin(x - 1)))),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,-4*x/(sqrt(1 - x**2)*(asin(x) - 2)**2) + 4/(asin(x) - 2),unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
baseline_solvable,(3*tanh(x)**2 - 3)/(2*tanh(x)**4),ok,12.0,6.0,3.0,7.0,0.0,0.0,3.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.96901535987854
baseline_solvable,-sin(x)/3 - cos(x)/3,ok,3.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038518182933330536
baseline_solvable,(x*(3**(x + 5)*x*log(3) + 3**(x + 5)) + log(exp(3**(x + 5)*x)))*exp(3**(x + 5)*x)**x,ok,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9240988492965698
baseline_solvable,(1 + 5/x**2)*exp(sin(x - 5/x))*cos(x - 5/x),ok,8.0,9.0,0.0,10.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.9777219295501709
baseline_solvable,-4*(cos(cos(4*x)) + 1)*sin(4*x)*sin(cos(4*x))/sqrt(1 - (cos(cos(4*x)) + 1)**2),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,12/(x*tanh(sin(3))),ok,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45474973320961
baseline_solvable,-5*(-tan(x)**2 - 1)*exp(-tan(x))*sinh(cos(1)),ok,5.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9303086400032043
baseline_solvable,(4*cos(5))**(-x + (x/3)**x)*((x/3)**x*(log(x/3) + 1) - 1)*log(4*cos(5)),error:ValueError,,,,,,,,,,,,,,,,,,,
baseline_solvable,(tanh(x)**2 - 2)*exp(-x - tanh(x) + 3)*sinh(exp(-x - tanh(x) + 3)),ok,4.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9316543936729431
baseline_solvable,-1 - 2/(-2*x - 4),ok,9.0,10.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.9802576899528503
baseline_solvable,(-x*(x + 1)/2)**(2*x + 4)*(2*log(-x*(x + 1)/2) - 2*(-x - 1/2)*(2*x + 4)/(x*(x + 1))),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,(log(log(x))*cos(x + sqrt(26)/26) + sin(x + sqrt(26)/26)/(x*log(x)))*log(x)**sin(x + sqrt(26)/26),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,(2*x)**cosh(2)*cosh(2)/x,ok,11.0,9.0,0.0,15.0,0.0,0.0,2.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.9735508561134338
baseline_solvable,-(-sinh(4)/2 - 4)/(x**2*(-sinh(4)/2 - 4)**2 + 1),ok,2.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5522443652153015
baseline_solvable,-(x*x**x*(log(x) + 1) + x**x)*exp((1/8)**(x*x**x))*log(8)/(5*8**(x*x**x)),ok,10.0,18.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.9752976298332214
baseline_solvable,(-4/x)**(sin(x)/(16*x))*((cos(x)/(16*x) - sin(x)/(16*x**2))*log(-4/x) - sin(x)/(16*x**2)),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,log(tan(1/243))*log(sinh(4))*tan(1/243)**(sinh(4)**x)*sinh(4)**x/x - tan(1/243)**(sinh(4)**x)/x**2,unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
baseline_solvable,(-40*x - 20*cos(x))/(4*x**2 + 4*sin(x))**6,ok,4.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8760828375816345
baseline_solvable,-2*(-2*x + asin(2))**sinh(5)*sinh(5)/(-2*x + asin(2)),ok,15.0,9.0,0.0,18.0,0.0,0.0,1.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.9588170647621155
baseline_solvable,32*x**2/(-32*x - 40)**2 + 2*x/(-32*x - 40),ok,13.0,13.0,6.0,14.0,0.0,0.0,20.0,25.0,5.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.9686229825019836
baseline_solvable,-1/x**2,ok,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3430999517440796
baseline_solvable,1 - 3/(x**2 + 1),ok,3.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05563126504421234
baseline_solvable,(-x/((x + exp(2))**2*cosh(4)) + 1/((x + exp(2))*cosh(4)))*(tan(x/((x + exp(2))*cosh(4)))**2 + 1),unsolvable,11.0,,3.0,5.0,0.0,0.0,7.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,
baseline_solvable,5**(x - 5 - tanh(2))*log(5)/5,ok,5.0,11.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.9556303024291992
baseline_solvable,-(2*x)**(-sinh(5) + 1/x)*((-2*sinh(5) + 2/x)/(2*x) - log(2*x)/x**2),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,(log(2*x) + 2)/(sqrt(1 - log(x*log(2*x) + x)**2)*(x*log(2*x) + x)),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,(-2 + 8/x)**x*(log(-2 + 8/x) - 8/(x*(-2 + 8/x)))*cos((-2 + 8/x)**x)/3,timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,(x - 4)**(1 - sin(x))*((1 - sin(x))/(x - 4) - log(x - 4)*cos(x)),unsolvable,6.0,,2.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,
baseline_solvable,1/(sqrt(1 - atan(x)**2)*(x**2 + 1)),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline_solvable,x**(x + 1)*(log(x) + (x + 1)/x)/x - x**(x + 1)/x**2,unsolvable,6.0,,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,
baseline_solvable,x**2 + x*(2*x - exp(4)*sinh(x*exp(4))) - cosh(x*exp(4)),unsolvable,5.0,,2.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
baseline_solvable,((log(-atan(x - 1))*cosh(x) + sinh(x)/(((x - 1)**2 + 1)*atan(x - 1)))*exp(x) + exp(x)*log((-atan(x - 1))**sinh(x)))*((-atan(x - 1))**sinh(x))**exp(x),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,-6/(25*x*log(-5/x**2)**(22/25)),ok,11.0,11.0,0.0,11.0,0.0,0.0,2.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.971278965473175
baseline_solvable,-x*cos(sqrt(3)) + (-x + sqrt(3))*cos(sqrt(3)),ok,5.0,26.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5468300580978394
baseline_solvable,x**(2*x/3)*(2*log(x)/3 + 2/3)/sqrt(1 - x**(4*x/3)),ok,10.0,6.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.9705143570899963
baseline_solvable,x**2 + 2*x*(x + 5) - 1,ok,6.0,12.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9173794984817505
baseline_solvable,exp(-x),ok,4.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9303086400032043
baseline_solvable,(x - 5)*cos(x - 4)/x + sin(x - 4)/x - (x - 5)*sin(x - 4)/x**2,unsolvable,11.0,,7.0,8.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,9.0,
baseline_solvable,log(cos(cos(6)))*cos(cos(6))**x,ok,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45474973320961
baseline_solvable,-2*x + 4 + (-5)**(5**atan(5)),ok,3.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline_solvable,-(sin(cos(3))/x)**exp(x)*(exp(x)*log(sin(cos(3))/x) - exp(x)/x),timeout,,,,,,,,,,,,,,,,,,,
baseline_solvable,-(2/(-x - 3))**x*(2*x*(-x/2 - 3/2)/(-x - 3)**2 + log(2/(-x - 3)))*sin((2/(-x - 3))**x),ok,6.0,12.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9528371691703796
baseline_solvable,4*2**(4*x - 1)*log(2) - tanh(x)**2 + 1,ok,9.0,25.0,2.0,6.0,0.0,0.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.9868332743644714
baseline_solvable,1/(x**2*(1 + x**(-2))),ok,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7433671355247498
baseline_solvable,(x*(2 - 4/x**5)/(2*x + 2 + x**(-4)) + log(2*x + 2 + x**(-4)))*(2*x + 2 + x**(-4))**x - 1,ok,6.0,14.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9762803912162781
baseline_solvable,2*2**(2*x - 4 + cosh(1/2))*log(2),ok,7.0,9.0,0.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.9758961200714111
baseline_solvable,(3*3**x/4 - 3*x)**cosh(4)*(3*3**x*log(3)/4 - 3)*cosh(4)/(3*3**x/4 - 3*x),ok,10.0,12.0,0.0,6.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9786247611045837
baseline_solvable,(x*cosh(x) + sinh(x))*sin(x*sinh(x)),ok,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8430780172348022
baseline_solvable,-2*(tan(x)**2 + 1)*exp(2*log(4)*tan(x))*log(4),ok,6.0,15.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.9589473605155945
baseline_solvable,1/(2*(-12 + 3*tan(3))*(x**2/(4*(-12 + 3*tan(3))**2) + 1)),ok,2.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5522443652153015
