Running feature generation
[135/5000] baseline | unsolvable | ETA 319.3min
[136/5000] baseline | unsolvable | ETA 317.1min
[137/5000] baseline | unsolvable | ETA 315.1min
[138/5000] baseline | ok | ETA 312.8min
[139/5000] baseline | unsolvable | ETA 310.5min
[140/5000] baseline | unsolvable | ETA 308.3min
[141/5000] baseline | ok | ETA 306.1min
[142/5000] baseline | unsolvable | ETA 303.9min
[143/5000] baseline | ok | ETA 301.8min
[144/5000] baseline | ok | ETA 299.6min
[145/5000] baseline | unsolvable | ETA 297.6min
[146/5000] baseline | unsolvable | ETA 295.7min
[147/5000] baseline | ok | ETA 293.6min
[148/5000] baseline | unsolvable | ETA 292.0min
[149/5000] baseline | unsolvable | ETA 290.0min
[150/5000] baseline | ok | ETA 288.0min
[151/5000] baseline | ok | ETA 286.1min
[152/5000] baseline | unsolvable | ETA 284.2min
[153/5000] baseline | ok | ETA 282.3min
[154/5000] baseline | unsolvable | ETA 280.4min
[155/5000] baseline | timeout | ETA 341.1min
[156/5000] baseline | ok | ETA 338.8min
[157/5000] baseline | unsolvable | ETA 336.7min
[158/5000] baseline | ok | ETA 335.0min
[159/5000] baseline | unsolvable | ETA 332.9min
[160/5000] baseline | unsolvable | ETA 376.6min
[161/5000] baseline | unsolvable | ETA 374.3min
[162/5000] baseline | ok | ETA 371.9min
[163/5000] baseline | unsolvable | ETA 369.5min
[164/5000] baseline | unsolvable | ETA 368.1min
[165/5000] baseline | ok | ETA 367.9min
[166/5000] baseline | unsolvable | ETA 365.8min
[167/5000] baseline | ok | ETA 363.5min
[168/5000] baseline | ok | ETA 361.3min
[169/5000] baseline | unsolvable | ETA 359.2min
[170/5000] baseline | unsolvable | ETA 358.1min
[171/5000] baseline | unsolvable | ETA 356.0min
[172/5000] baseline | ok | ETA 353.9min
[173/5000] baseline | unsolvable | ETA 352.0min
[174/5000] baseline | unsolvable | ETA 349.9min
[175/5000] baseline | ok | ETA 347.8min
[176/5000] baseline | ok | ETA 346.0min
[177/5000] baseline | ok | ETA 343.9min
[178/5000] baseline | unsolvable | ETA 342.1min
[179/5000] baseline | ok | ETA 340.4min
[180/5000] baseline | unsolvable | ETA 338.5min
[181/5000] baseline | ok | ETA 336.5min
[182/5000] baseline | unsolvable | ETA 334.8min
[183/5000] baseline | unsolvable | ETA 333.6min
[184/5000] baseline | unsolvable | ETA 331.8min
[185/5000] baseline | unsolvable | ETA 330.0min
[186/5000] baseline | unsolvable | ETA 330.6min
[187/5000] baseline | unsolvable | ETA 328.8min
[188/5000] baseline | ok | ETA 327.2min
[189/5000] baseline | ok | ETA 325.4min
[190/5000] baseline | unsolvable | ETA 323.6min
[191/5000] baseline | unsolvable | ETA 322.1min
[192/5000] baseline | timeout | ETA 370.5min
[193/5000] baseline | ok | ETA 368.5min
[194/5000] baseline | unsolvable | ETA 366.6min
[195/5000] baseline | unsolvable | ETA 364.7min
[196/5000] baseline | unsolvable | ETA 363.1min
[197/5000] baseline | ok | ETA 361.2min
[198/5000] baseline | unsolvable | ETA 363.9min
[199/5000] baseline | ok | ETA 362.0min
[200/5000] baseline | ok | ETA 360.1min
[201/5000] baseline | unsolvable | ETA 358.3min
[202/5000] baseline | unsolvable | ETA 356.5min
[203/5000] baseline | unsolvable | ETA 354.7min
[204/5000] baseline | ok | ETA 352.9min
[205/5000] baseline | unsolvable | ETA 351.1min
[206/5000] baseline | unsolvable | ETA 349.4min
[207/5000] baseline | ok | ETA 347.6min
[208/5000] baseline | ok | ETA 345.9min
[209/5000] baseline | ok | ETA 344.1min
[210/5000] baseline | unsolvable | ETA 342.5min
[211/5000] baseline | ok | ETA 343.3min
[212/5000] baseline | ok | ETA 341.6min
[213/5000] baseline | unsolvable | ETA 340.3min
[214/5000] baseline | ok | ETA 338.8min
[215/5000] baseline | ok | ETA 337.4min
[216/5000] baseline | unsolvable | ETA 339.7min
[217/5000] baseline | ok | ETA 338.7min
[218/5000] baseline | ok | ETA 337.1min
[219/5000] baseline | ok | ETA 335.5min
[220/5000] baseline | ok | ETA 334.0min
[221/5000] baseline | unsolvable | ETA 332.4min
[222/5000] baseline | unsolvable | ETA 330.9min
[223/5000] baseline | unsolvable | ETA 329.8min
[224/5000] baseline | ok | ETA 328.3min
[225/5000] baseline | unsolvable | ETA 337.8min
[226/5000] baseline | ok | ETA 336.2min
[227/5000] baseline | ok | ETA 334.8min
[228/5000] baseline | unsolvable | ETA 333.3min
[229/5000] baseline | unsolvable | ETA 331.9min
[230/5000] baseline | unsolvable | ETA 330.4min
[231/5000] baseline | unsolvable | ETA 329.0min
[232/5000] baseline | unsolvable | ETA 329.4min
[233/5000] baseline | ok | ETA 327.9min
[234/5000] baseline | ok | ETA 326.5min
[235/5000] baseline | ok | ETA 325.1min
[236/5000] baseline | ok | ETA 323.6min
[237/5000] baseline | ok | ETA 322.2min
[238/5000] baseline | unsolvable | ETA 320.9min
[239/5000] baseline | ok | ETA 319.5min
[240/5000] baseline | unsolvable | ETA 318.2min
[241/5000] baseline | unsolvable | ETA 317.3min
[242/5000] baseline | unsolvable | ETA 319.9min
[243/5000] baseline | unsolvable | ETA 318.5min
[244/5000] baseline | unsolvable | ETA 317.2min
[245/5000] baseline | unsolvable | ETA 315.9min
[246/5000] baseline | unsolvable | ETA 314.5min
[247/5000] baseline | unsolvable | ETA 313.2min
[248/5000] baseline | unsolvable | ETA 311.9min
[249/5000] baseline | unsolvable | ETA 310.6min
[250/5000] baseline | ok | ETA 309.6min
[251/5000] baseline | ok | ETA 308.3min
[252/5000] baseline | unsolvable | ETA 307.1min
[253/5000] baseline | unsolvable | ETA 306.5min
[254/5000] baseline | ok | ETA 305.2min
[255/5000] baseline | unsolvable | ETA 304.1min
[256/5000] baseline | ok | ETA 302.8min
[257/5000] baseline | ok | ETA 301.6min
[258/5000] baseline | ok | ETA 300.4min
[259/5000] baseline | unsolvable | ETA 299.2min
[260/5000] baseline | unsolvable | ETA 298.0min
[261/5000] baseline | unsolvable | ETA 297.1min
[262/5000] baseline | unsolvable | ETA 295.9min
[263/5000] baseline | ok | ETA 294.9min
[264/5000] baseline | unsolvable | ETA 293.7min
[265/5000] baseline | unsolvable | ETA 292.7min
[266/5000] baseline | unsolvable | ETA 291.5min
[267/5000] baseline | unsolvable | ETA 290.4min
[268/5000] baseline | unsolvable | ETA 289.3min
[269/5000] baseline | unsolvable | ETA 288.2min
[270/5000] baseline | unsolvable | ETA 287.2min
[271/5000] baseline | ok | ETA 286.2min
[272/5000] baseline | unsolvable | ETA 285.0min
[273/5000] baseline | ok | ETA 284.0min
[274/5000] baseline | ok | ETA 283.2min
[275/5000] baseline | unsolvable | ETA 282.2min
[276/5000] baseline | ok | ETA 281.1min
[277/5000] baseline | ok | ETA 280.0min
[278/5000] baseline | unsolvable | ETA 279.1min
[279/5000] baseline | unsolvable | ETA 278.1min
[280/5000] baseline | ok | ETA 277.1min
[281/5000] baseline | unsolvable | ETA 299.8min
[282/5000] baseline | unsolvable | ETA 298.6min
[283/5000] baseline | unsolvable | ETA 298.5min
[284/5000] baseline | ok | ETA 297.5min
[285/5000] baseline | unsolvable | ETA 308.7min
[286/5000] baseline | ok | ETA 308.7min
[287/5000] baseline | unsolvable | ETA 307.8min
[288/5000] baseline | ok | ETA 306.6min
[289/5000] baseline | unsolvable | ETA 306.0min
[290/5000] baseline | ok | ETA 305.0min
[291/5000] baseline | unsolvable | ETA 303.9min
[292/5000] baseline | unsolvable | ETA 302.8min
[293/5000] baseline | ok | ETA 301.8min
[294/5000] baseline | ok | ETA 300.7min
[295/5000] baseline | unsolvable | ETA 299.7min
[296/5000] baseline | ok | ETA 298.6min
[297/5000] baseline | ok | ETA 299.0min
[298/5000] baseline | unsolvable | ETA 298.0min
[299/5000] baseline | ok | ETA 297.0min
[300/5000] baseline | unsolvable | ETA 295.9min
[301/5000] baseline | unsolvable | ETA 295.3min
[302/5000] baseline | ok | ETA 294.3min
[303/5000] baseline | ok | ETA 293.9min
[304/5000] baseline | unsolvable | ETA 293.0min
[305/5000] baseline | unsolvable | ETA 291.9min
[306/5000] baseline | unsolvable | ETA 291.0min
[307/5000] baseline | ok | ETA 290.0min
[308/5000] baseline | unsolvable | ETA 317.3min
[309/5000] baseline | ok | ETA 316.2min
[310/5000] baseline | unsolvable | ETA 315.2min
[311/5000] baseline | ok | ETA 314.2min
[312/5000] baseline | ok | ETA 313.1min
[313/5000] baseline | unsolvable | ETA 312.0min
[314/5000] baseline | unsolvable | ETA 311.0min
[315/5000] baseline | ok | ETA 310.0min
[316/5000] baseline | ok | ETA 309.0min
[317/5000] baseline | unsolvable | ETA 311.3min
[318/5000] baseline | unsolvable | ETA 310.5min
[319/5000] baseline | unsolvable | ETA 309.5min
[320/5000] baseline | unsolvable | ETA 308.6min
[321/5000] baseline | ok | ETA 307.5min
[322/5000] baseline | unsolvable | ETA 306.5min
[323/5000] baseline | ok | ETA 305.6min
[324/5000] baseline | unsolvable | ETA 304.6min
[325/5000] baseline | unsolvable | ETA 303.8min
[326/5000] baseline | unsolvable | ETA 302.8min
[327/5000] baseline | ok | ETA 301.8min
[328/5000] baseline | ok | ETA 300.9min
[329/5000] baseline | unsolvable | ETA 299.9min
[330/5000] baseline | unsolvable | ETA 299.0min
[331/5000] baseline | unsolvable | ETA 298.0min
[332/5000] baseline | ok | ETA 297.1min
[333/5000] baseline | unsolvable | ETA 296.2min
[334/5000] baseline | unsolvable | ETA 295.3min
[335/5000] baseline | ok | ETA 294.4min
[336/5000] baseline | ok | ETA 293.5min
[337/5000] baseline | unsolvable | ETA 292.6min
[338/5000] baseline | unsolvable | ETA 292.5min
[339/5000] baseline | unsolvable | ETA 291.6min
[340/5000] baseline | unsolvable | ETA 290.7min
[341/5000] baseline | unsolvable | ETA 290.4min
[342/5000] baseline | unsolvable | ETA 289.5min
[343/5000] baseline | ok | ETA 288.6min
[344/5000] baseline | ok | ETA 287.8min
[345/5000] baseline | ok | ETA 286.9min
[346/5000] baseline | unsolvable | ETA 286.0min
[347/5000] baseline | unsolvable | ETA 285.3min
[348/5000] baseline | ok | ETA 284.4min
[349/5000] baseline | unsolvable | ETA 283.6min
[350/5000] baseline | unsolvable | ETA 283.2min
[351/5000] baseline | unsolvable | ETA 282.3min
[352/5000] baseline | ok | ETA 281.4min
[353/5000] baseline | ok | ETA 280.6min
[354/5000] baseline | unsolvable | ETA 279.8min
[355/5000] baseline | ok | ETA 278.9min
[356/5000] baseline | timeout | ETA 304.2min
[357/5000] baseline | unsolvable | ETA 303.8min
[358/5000] baseline | unsolvable | ETA 303.4min
[359/5000] baseline | unsolvable | ETA 309.6min
[360/5000] baseline | unsolvable | ETA 308.7min
[361/5000] baseline | ok | ETA 308.0min
[362/5000] baseline | ok | ETA 307.1min
[363/5000] baseline | ok | ETA 306.2min
[364/5000] baseline | unsolvable | ETA 305.3min
[365/5000] baseline | ok | ETA 304.7min
[366/5000] baseline | unsolvable | ETA 303.8min
[367/5000] baseline | ok | ETA 303.2min
[368/5000] baseline | unsolvable | ETA 302.4min
[369/5000] baseline | ok | ETA 301.5min
[370/5000] baseline | ok | ETA 300.7min
[371/5000] baseline | unsolvable | ETA 300.5min
[372/5000] baseline | unsolvable | ETA 299.6min
[373/5000] baseline | timeout | ETA 323.6min
[374/5000] baseline | unsolvable | ETA 322.7min
[375/5000] baseline | unsolvable | ETA 321.8min
[376/5000] baseline | ok | ETA 320.9min
[377/5000] baseline | ok | ETA 319.9min
[378/5000] baseline | unsolvable | ETA 319.2min
[379/5000] baseline | unsolvable | ETA 318.3min
[380/5000] baseline | unsolvable | ETA 317.4min
[381/5000] baseline | ok | ETA 316.5min
[382/5000] baseline | unsolvable | ETA 315.7min
[383/5000] baseline | ok | ETA 314.8min
[384/5000] baseline | ok | ETA 314.0min
[385/5000] baseline | ok | ETA 313.2min
[386/5000] baseline | ok | ETA 312.3min
[387/5000] baseline | unsolvable | ETA 311.4min
[388/5000] baseline | unsolvable | ETA 310.7min
[389/5000] baseline | unsolvable | ETA 309.8min
[390/5000] baseline | ok | ETA 309.0min
[391/5000] baseline | unsolvable | ETA 308.2min
[392/5000] baseline | ok | ETA 307.4min
[393/5000] baseline | ok | ETA 306.6min
[394/5000] baseline | unsolvable | ETA 305.8min
[395/5000] baseline | ok | ETA 305.0min
[396/5000] baseline | unsolvable | ETA 304.2min
[397/5000] baseline | unsolvable | ETA 303.4min
[398/5000] baseline | unsolvable | ETA 304.1min
[399/5000] baseline | unsolvable | ETA 303.3min
[400/5000] baseline | unsolvable | ETA 302.8min
[401/5000] baseline | unsolvable | ETA 302.0min
[402/5000] baseline | unsolvable | ETA 301.3min
[403/5000] baseline | ok | ETA 300.4min
[404/5000] baseline | unsolvable | ETA 299.6min
[405/5000] baseline | unsolvable | ETA 299.4min
[406/5000] baseline | unsolvable | ETA 298.6min
[407/5000] baseline | ok | ETA 298.1min
[408/5000] baseline | unsolvable | ETA 297.3min
[409/5000] baseline | unsolvable | ETA 296.5min
[410/5000] baseline | timeout | ETA 318.1min
[411/5000] baseline | unsolvable | ETA 318.9min
[412/5000] baseline | unsolvable | ETA 320.2min
[413/5000] baseline | unsolvable | ETA 319.4min
[414/5000] baseline | unsolvable | ETA 318.7min
[415/5000] baseline | ok | ETA 317.9min
[416/5000] baseline | ok | ETA 317.1min
[417/5000] baseline | unsolvable | ETA 316.3min
[418/5000] baseline | unsolvable | ETA 315.5min
[419/5000] baseline | ok | ETA 316.6min
[420/5000] baseline | unsolvable | ETA 315.9min
[421/5000] baseline | ok | ETA 315.1min
[422/5000] baseline | unsolvable | ETA 314.3min
[423/5000] baseline | unsolvable | ETA 313.5min
[424/5000] baseline | ok | ETA 312.7min
[425/5000] baseline | ok | ETA 311.9min
[426/5000] baseline | unsolvable | ETA 311.1min
[427/5000] baseline | ok | ETA 311.1min
[428/5000] baseline | unsolvable | ETA 310.4min
[429/5000] baseline | ok | ETA 309.6min
[430/5000] baseline | ok | ETA 308.8min
[431/5000] baseline | ok | ETA 308.1min
[432/5000] baseline | unsolvable | ETA 307.3min
[433/5000] baseline | ok | ETA 306.5min
[434/5000] baseline | unsolvable | ETA 305.8min
[435/5000] baseline | ok | ETA 305.0min
[436/5000] baseline | unsolvable | ETA 304.6min
[437/5000] baseline | unsolvable | ETA 303.8min
[438/5000] baseline | ok | ETA 303.1min
[439/5000] baseline | ok | ETA 302.3min
[440/5000] baseline | ok | ETA 301.6min
[441/5000] baseline | ok | ETA 300.8min
[442/5000] baseline | unsolvable | ETA 300.1min
[443/5000] baseline | unsolvable | ETA 299.4min
[444/5000] baseline | unsolvable | ETA 299.0min
[445/5000] baseline | unsolvable | ETA 298.4min
[446/5000] baseline | ok | ETA 297.7min
[447/5000] baseline | ok | ETA 296.9min
[448/5000] baseline | unsolvable | ETA 296.3min
[449/5000] baseline | ok | ETA 295.6min
[450/5000] baseline | unsolvable | ETA 294.9min
[451/5000] baseline | unsolvable | ETA 294.2min
[452/5000] baseline | unsolvable | ETA 293.6min
[453/5000] baseline | ok | ETA 292.9min
[454/5000] baseline | ok | ETA 292.2min
[455/5000] baseline | unsolvable | ETA 291.5min
[456/5000] baseline | unsolvable | ETA 290.8min
[457/5000] baseline | ok | ETA 290.2min
[458/5000] baseline | unsolvable | ETA 289.5min
[459/5000] baseline | ok | ETA 288.8min
[460/5000] baseline | ok | ETA 288.2min
[461/5000] baseline | unsolvable | ETA 287.6min
[462/5000] baseline | unsolvable | ETA 287.2min
[463/5000] baseline | unsolvable | ETA 286.7min
[464/5000] baseline | unsolvable | ETA 286.0min
[465/5000] baseline | unsolvable | ETA 285.4min
[466/5000] baseline | unsolvable | ETA 284.7min
[467/5000] baseline | unsolvable | ETA 284.1min
[468/5000] baseline | ok | ETA 283.5min
[469/5000] baseline | unsolvable | ETA 283.4min
[470/5000] baseline | unsolvable | ETA 282.8min
[471/5000] baseline | ok | ETA 282.1min
[472/5000] baseline | unsolvable | ETA 287.9min
[473/5000] baseline | unsolvable | ETA 287.2min
[474/5000] baseline | timeout | ETA 305.7min
[475/5000] baseline | ok | ETA 305.0min
[476/5000] baseline | ok | ETA 304.4min
[477/5000] baseline | unsolvable | ETA 303.7min
[478/5000] baseline | unsolvable | ETA 303.0min
[479/5000] baseline | ok | ETA 302.3min
[480/5000] baseline | ok | ETA 301.6min
[481/5000] baseline | unsolvable | ETA 300.9min
[482/5000] baseline | unsolvable | ETA 300.3min
